City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,arraial do cabo,-22.9661,-42.0278,76.86,88,75,20.71,BR,1698509549
84,hammerfest,70.6634,23.6821,32.45,80,100,3.44,NO,1698509303
85,vilyuchinsk,52.9306,158.4028,38.93,74,100,4.81,RU,1698509550
86,badger,64.8,-147.5333,15.37,87,0,3.44,US,1698509550
87,tuscaloosa,33.2098,-87.5692,79.05,67,0,3.44,US,1698509366
88,tyukhtet,56.5389,89.3011,24.98,87,99,9.22,RU,1698509551
89,brooks,50.5834,-111.8851,21.18,66,100,4.61,CA,1698509551
90,stanley,54.868,-1.6985,48.78,93,93,7.7,GB,1698509552
91,hami,42.8,93.45,54.18,37,68,8.23,CN,1698509552
92,hays,30.0502,-98.0336,79.38,87,100,5.01,US,1698509552
93,bonthe,7.5264,-12.505,84.52,67,55,9.04,SL,1698509553
94,kargasok,59.0556,80.8572,11.97,97,64,5.01,RU,1698509553
95,alvand,36.3187,49.1678,57.63,32,0,5.41,IR,1698509554
96,lihue,21.9789,-159.3672,70.84,77,0,9.22,US,1698509412
97,klyuchi,52.2667,79.1667,29.62,53,100,7.65,RU,1698509554
98,susuman,62.7833,148.1667,0.99,99,90,1.01,RU,1698509555
99,papatowai,-46.5619,169.4708,40.5,91,30,6.51,NZ,1698509555
100,jalai nur,49.45,117.7,42.82,41,99,7.67,CN,1698509556
101,thunder bay,48.4001,-89.3168,35.51,69,75,10.36,CA,1698509556
102,coahuayana de hidalgo,18.7,-103.6583,84.85,72,93,1.72,MX,1698509556
103,tazovsky,67.4667,78.7,7.39,91,66,11.88,RU,1698509557
104,ciudad lazaro cardenas,17.9583,-102.2,82.56,73,97,1.88,MX,1698509364
105,akureyri,65.6835,-18.0878,37.33,70,20,0.0,IS,1698509557
106,happy valley-goose bay,53.3168,-60.3315,34.11,93,100,4.61,CA,1698509364
107,udachny,66.4167,112.4,10.45,84,90,8.88,RU,1698509558
108,paraiso,9.8383,-83.8656,76.42,72,99,2.86,CR,1698509559
109,bogorodsk,56.1033,43.5158,31.42,100,100,8.99,RU,1698509559
110,west island,-12.1568,96.8225,78.78,73,100,20.71,CC,1698509559
111,mount pearl,47.5166,-52.7813,54.95,97,100,17.27,CA,1698509560
112,severo-yeniseyskiy,60.3725,93.0408,15.58,81,100,15.99,RU,1698509560
113,awjilah,29.1081,21.2869,81.66,28,24,9.13,LY,1698509560
114,xai-xai,-25.0519,33.6442,75.22,72,31,11.3,MZ,1698509561
115,saipan,15.1355,145.701,83.1,89,20,6.91,MP,1698509561
116,chibougamau,49.9168,-74.3659,35.22,80,75,12.66,CA,1698509562
117,chonchi,-42.6128,-73.8092,51.01,77,86,13.62,CL,1698509562
118,el calafate,-50.3408,-72.2768,40.06,75,99,7.94,AR,1698509562
119,northam,51.0333,-4.2167,58.66,91,72,17.54,GB,1698509563
120,olonkinbyen,70.9221,-8.7187,30.4,78,91,6.33,SJ,1698509563
121,hithadhoo,-0.6,73.0833,80.78,84,43,17.63,MV,1698509563
122,alofi,-19.0595,-169.9187,74.48,68,77,18.5,NU,1698509564
123,laguna,38.421,-121.4238,52.97,83,0,6.91,US,1698509564
124,at taj,24.2049,23.2857,81.75,18,43,8.61,LY,1698509565
125,port blair,11.6667,92.75,81.77,77,40,1.61,IN,1698509565
126,east london,-33.0153,27.9116,58.14,94,100,19.57,ZA,1698509566
127,puerto ayora,-0.7393,-90.3518,84.16,87,100,8.99,EC,1698509566
128,cabo san lucas,22.8909,-109.9124,79.52,67,0,3.44,MX,1698509353
129,bengkulu,-3.8004,102.2655,75.51,92,67,4.79,ID,1698509567
130,alice springs,-23.7,133.8833,53.15,14,54,6.91,AU,1698509522
131,luza,60.6308,47.2512,26.83,59,99,10.33,RU,1698509568
132,weno,7.4515,151.8468,80.55,94,100,0.0,FM,1698509568
133,praia da vitoria,38.7333,-27.0667,67.75,70,100,21.65,PT,1698509569
134,rabo de peixe,37.8,-25.5833,66.97,99,40,14.97,PT,1698509569
135,tuxtepec,18.1,-96.1167,76.87,87,100,4.54,MX,1698509514
136,ambovombe,-25.1667,46.0833,75.72,77,0,15.26,MG,1698509570
137,el colomo,19.05,-104.25,84.18,67,45,0.67,MX,1698509570
138,vorkuta,67.5,64.0,9.55,97,100,4.45,RU,1698509570
139,north bay,46.3168,-79.4663,45.95,73,69,14.36,CA,1698509413
140,jamaame,0.0697,42.745,80.33,80,8,8.79,SO,1698509431
141,san antonio de pale,-1.4014,5.6325,79.59,79,9,10.04,GQ,1698509571
142,jamestown,42.097,-79.2353,56.52,93,100,8.05,US,1698509546
143,coron,11.9986,120.2043,78.48,87,33,3.29,PH,1698509572
144,el granada,37.5027,-122.4694,55.22,84,0,4.61,US,1698509573
